deviceId;deviceName;Dictionary;Load;Count;Sort;Seed;Config;Reshape;Build;RandomCount;RandomMatch;RandomSort;RandomSortedMatch;HitRate;TreeMemory;TreeLevels;Depth;TreeMemoryUniqueOnly;ChildrenMemory;ChildrenCountsMemory;ScanMemory;PreScanMemory;PermuationMemory;LengthsMemory;MasksPartsMemory;ContainerSumMemory;ContainerItemsMemory;ContainerStartsMemory;ContainerLengthsMemory;AverageNodeSizesLevels;MaxNodeSizesLevels;MaxNodeSize;AverageNodeSize;TreeHeight;NodeSizeToHeightRatio;ItemsPerLevel;MaxItemsPerLevel;Find;Match;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.1697;576846;3.97334;123;{3, 5, 4, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2};2.33229;54.2235;100000;1.03408;15.5662;0.794528;0.000672623;9905192;{1,8,41,166,945,1931,5078,17394,1559,1017,442,63,46,30,21,};15;2983040;445240;60;60;60;2307384;2307384;2307384;2537620;2307384;115148;115088;0, 2, 10.0976, 97.988, 21.1799, 32.8369, 20.4553, 21.3459, 0.350866, 0.565388, 0.857466, 0.269841, 0.347826, 0.3, 1, ;0, 16, 414, 16266, 7111, 1566, 217, 56, 2, 1, 1, 1, 1, 1, 1, ;16266;20.0698;15;1.33799;{0, 16, 414, 16266, 20015, 63408, 103872, 371291, 547, 575, 379, 17, 16, 9, 21, };371291;0;1.52246;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.1697;576846;3.97334;123;{20, 4, 8};2.60557;17.6205;100000;205.972;4.37315;199.781;0.000672623;13802048;{1,5078,1559,};3;6879896;4519312;12;12;12;2307384;2307384;2307384;2360548;2307384;26588;26576;100119, 93.5729, 1.00321, ;100119, 374, 2, ;100119;86.9006;3;28.9669;{100119, 475163, 1564, };475163;0;1.57011;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.1697;576846;3.97334;123;{19, 3, 2, 8};2.52211;18.2619;100000;117.924;3.82394;119.227;0.000672623;11876816;{1,3001,17394,1559,};4;4954664;2471512;16;16;16;2307384;2307384;2307384;2483104;2307384;87868;87852;62283, 47.2203, 21.3459, 1.00321, ;62283, 714, 56, 2, ;62283;26.274;4;6.5685;{62283, 141708, 371291, 1564, };371291;0;0.978912;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.1697;576846;3.97334;123;{18, 3, 2, 1, 8};1.93757;22.3076;100000;69.1491;4.68797;68.9236;0.000672623;11128976;{1,1931,9187,33779,1559,};5;4206824;1527624;20;20;20;2307384;2307384;2307384;2679140;2307384;185888;185868;36711, 53.5935, 12.9523, 9.35756, 1.00321, ;36711, 1895, 73, 25, 2, ;36711;12.4168;5;2.48335;{36711, 103489, 118993, 316089, 1564, };316089;0;0.825312;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.1697;576846;3.97334;123;{17, 3, 2, 1, 1, 8};1.70099;22.3475;100000;45.8777;5.42349;45.5578;0.000672623;10759976;{1,1320,5078,17394,33779,1559,};6;3837824;1057200;24;24;24;2307384;2307384;2307384;2780552;2307384;236596;236572;24107, 57.5848, 20.4553, 3.17362, 9.35756, 1.00321, ;24107, 4526, 217, 18, 25, 2, ;24107;9.75539;6;1.6259;{24107, 76012, 103872, 55202, 316089, 1564, };316089;0;0.913184;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.1697;576846;3.97334;123;{17, 3, 2, 1, 1, 3, 5};1.79418;24.3748;100000;45.0644;5.93546;44.9475;0.000672623;10810408;{1,1320,5078,17394,33779,1559,63,};7;3888256;1107096;28;28;28;2307384;2307384;2307384;2781076;2307384;236860;236832;24107, 57.5848, 20.4553, 3.17362, 9.35756, 0.962797, 1, ;24107, 4526, 217, 18, 25, 2, 1, ;24107;9.74501;7;1.39214;{24107, 76012, 103872, 55202, 316089, 1501, 63, };316089;0;0.93008;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.1697;576846;3.97334;123;{13, 4, 3, 2, 1, 1, 3, 5};2.0672;29.0179;100000;2.65338;6.58026;2.47165;0.000672623;10337648;{1,260,1320,5078,17394,33779,1559,63,};8;3415496;632224;32;32;32;2307384;2307384;2307384;2783176;2307384;237912;237880;936, 89.1192, 57.5848, 20.4553, 3.17362, 9.35756, 0.962797, 1, ;936, 19623, 4526, 217, 18, 25, 2, 1, ;19623;9.70239;8;1.2128;{936, 23171, 76012, 103872, 55202, 316089, 1501, 63, };316089;0;0.850592;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.1697;576846;3.97334;123;{12, 4, 2, 2, 2, 1, 1, 3, 5};1.68922;28.5985;100000;1.48195;6.94678;1.52496;0.000672623;10330760;{1,166,945,1931,5078,17394,33779,1559,63,};9;3408608;613608;36;36;36;2307384;2307384;2307384;2794892;2307384;243772;243736;430, 97.988, 21.1799, 32.8369, 20.4553, 3.17362, 9.35756, 0.962797, 1, ;430, 16266, 7111, 1566, 217, 18, 25, 2, 1, ;16266;9.46953;9;1.05217;{430, 16266, 20015, 63408, 103872, 55202, 316089, 1501, 63, };316089;0;1.02973;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.1697;576846;3.97334;123;{12, 4, 2, 2, 2, 1, 1, 2, 2, 4};2.19152;31.3502;100000;1.56096;7.61402;1.47453;0.000672623;10316328;{1,166,945,1931,5078,17394,33779,1559,442,46,};10;3394176;595744;40;40;40;2307384;2307384;2307384;2798312;2307384;245484;245444;430, 97.988, 21.1799, 32.8369, 20.4553, 3.17362, 9.35756, 0.719692, 0.895928, 1, ;430, 16266, 7111, 1566, 217, 18, 25, 2, 1, 1, ;16266;9.40392;10;0.940392;{430, 16266, 20015, 63408, 103872, 55202, 316089, 1122, 396, 46, };316089;0;1.01171;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.1697;576846;3.97334;123;{12, 4, 2, 2, 2, 1, 1, 2, 1, 2, 3};2.52806;37.2323;100000;1.55363;9.98138;1.57478;0.000672623;10314216;{1,166,945,1931,5078,17394,33779,1559,442,63,30,};11;3392064;593224;44;44;44;2307384;2307384;2307384;2798708;2307384;245684;245640;430, 97.988, 21.1799, 32.8369, 20.4553, 3.17362, 9.35756, 0.719692, 0.857466, 0.52381, 1, ;430, 16266, 7111, 1566, 217, 18, 25, 2, 1, 1, 1, ;16266;9.39672;11;0.854247;{430, 16266, 20015, 63408, 103872, 55202, 316089, 1122, 379, 33, 30, };316089;0;1.11027;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.1697;576846;3.97334;123;{8, 4, 4, 2, 2, 2, 1, 1, 2, 1, 2, 3};2.10688;36.7002;100000;0.630976;10.1714;0.63312;0.000672623;10301848;{1,41,166,945,1931,5078,17394,33779,1559,442,63,30,};12;3379696;580496;48;48;48;2307384;2307384;2307384;2799056;2307384;245860;245812;16, 10.0976, 97.988, 21.1799, 32.8369, 20.4553, 3.17362, 9.35756, 0.719692, 0.857466, 0.52381, 1, ;16, 414, 16266, 7111, 1566, 217, 18, 25, 2, 1, 1, 1, ;16266;9.39045;12;0.782538;{16, 414, 16266, 20015, 63408, 103872, 55202, 316089, 1122, 379, 33, 30, };316089;0;1.18806;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.1697;576846;3.97334;123;{8, 4, 4, 2, 2, 2, 1, 1, 1, 1, 1, 2, 3};1.82672;39.9926;100000;0.670208;11.1473;0.632544;0.000672623;10305688;{1,41,166,945,1931,5078,17394,33779,1559,1017,442,63,30,};13;3383536;576168;52;52;52;2307384;2307384;2307384;2807212;2307384;249940;249888;16, 10.0976, 97.988, 21.1799, 32.8369, 20.4553, 3.17362, 9.35756, 0.350866, 0.565388, 0.857466, 0.52381, 1, ;16, 414, 16266, 7111, 1566, 217, 18, 25, 2, 1, 1, 1, 1, ;16266;9.23752;13;0.710578;{16, 414, 16266, 20015, 63408, 103872, 55202, 316089, 547, 575, 379, 33, 30, };316089;0;1.24266;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.1697;576846;3.97334;123;{1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1};2.8335;81.585;100000;0.5512;24.6068;0.553856;0.000672623;10473712;{1,2,4,8,14,25,32,38,41,52,70,107,166,260,407,631,945,1320,1931,3001,5078,9187,17394,33779,1559,1017,442,63,46,30,21,21,};32;3551560;621616;128;128;128;2307384;2307384;2307384;2929560;2307384;311152;311024;0, 0, 0, 0, 0, 0, 0, 0.421053, 0.317073, 0.692308, 1.42857, 2.47664, 3.04819, 3.90769, 4.34889, 20.561, 7.84233, 9.54848, 13.2429, 12.6078, 7.89307, 6.94362, 3.17362, 9.35756, 0.350866, 0.565388, 0.857466, 0.269841, 0.347826, 0.3, 0, 1, ;0, 0, 0, 0, 0, 0, 0, 16, 13, 36, 100, 265, 506, 1016, 1770, 12974, 3863, 1686, 937, 399, 118, 55, 18, 25, 2, 1, 1, 1, 1, 1, 0, 1, ;12974;7.42478;32;0.232024;{0, 0, 0, 0, 0, 0, 0, 16, 13, 36, 100, 265, 506, 1016, 1770, 12974, 7411, 12604, 25572, 37836, 40081, 63791, 55202, 316089, 547, 575, 379, 17, 16, 9, 0, 21, };316089;0;3.03005;
