deviceId;deviceName;Dictionary;Load;Count;Sort;Config;Reshape;Build;TreeMemory;TreeLevels;Depth;TreeMemoryUniqueOnly;ChildrenMemory;ChildrenCountsMemory;ScanMemory;PreScanMemory;PermuationMemory;LengthsMemory;MasksPartsMemory;ContainerSumMemory;ContainerItemsMemory;ContainerStartsMemory;ContainerLengthsMemory;Find;Match;RandomCount;RandomMatch;RandomSort;RandomSortedMatch;HitRate;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{23, 1, 8};2.461920;21.637823;43337024;{1,33779,1559,};3;36414872;33824680;12;12;12;2307384;2307384;2307384;2590156;2307384;141392;141380;2148.404541;101.092354;100000;582.518860;4.302688;555.345337;0.000711;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{23, 1, 1, 1, 1, 1, 1, 1, 1, 1};3.551840;69.791779;43375848;{1,33779,1559,1017,442,63,46,30,21,21,};10;36453696;33850160;40;40;40;2307384;2307384;2307384;2603416;2307384;148036;147996;1134.696777;99.638527;100000;559.876892;10.534784;557.243774;0.000712;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{16, 16};2.314016;18.032543;9499320;{1,945,};2;2577168;262152;8;8;8;2307384;2307384;2307384;2314992;2307384;3808;3800;60.563042;10.662016;100000;33.625088;5.306048;32.249249;0.000683;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{16, 8, 8};2.782304;20.732992;10479512;{1,945,1559,};3;3557360;1229840;12;12;12;2307384;2307384;2307384;2327484;2307384;10056;10044;60.932320;10.675168;100000;33.232479;3.978880;32.027454;0.000683;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{16, 8, 4, 4};2.240576;20.277920;10579696;{1,945,1559,46,};4;3657544;1329624;16;16;16;2307384;2307384;2307384;2327872;2307384;10252;10236;60.161633;10.881632;100000;33.370689;4.034048;31.783680;0.000686;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{16, 4, 2, 2, 8};2.537440;27.404768;10111720;{1,945,5078,17394,1559,};5;3189568;682208;20;20;20;2307384;2307384;2307384;2507300;2307384;99968;99948;34.755840;1.053184;100000;32.926559;7.239232;31.937441;0.000681;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{16, 4, 4, 8};2.649248;24.341856;9937968;{1,945,5078,1559,};4;3015816;647640;16;16;16;2307384;2307384;2307384;2368128;2307384;30380;30364;35.928799;2.162912;100000;32.215103;4.360064;31.945728;0.000683;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{16, 2, 2, 4, 8};2.362304;27.170015;9938992;{1,945,1931,5078,1559,};5;3016840;633184;20;20;20;2307384;2307384;2307384;2383596;2307384;38116;38096;28.049055;1.771136;100000;32.417122;6.311168;31.951168;0.000685;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{16, 2, 2, 2, 2, 8};2.581664;30.590528;10112744;{1,945,1931,5078,17394,1559,};6;3190592;667752;24;24;24;2307384;2307384;2307384;2522768;2307384;107704;107680;26.413408;1.017824;100000;32.528576;7.272064;32.020447;0.000683;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{14, 2, 2, 2, 2, 2, 8};2.874848;35.543423;9925944;{1,407,945,1931,5078,17394,1559,};7;3003792;477664;28;28;28;2307384;2307384;2307384;2526044;2307384;109344;109316;25.738111;1.087520;100000;4.820928;9.295296;4.555200;0.000706;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{14, 4, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1};2.811072;42.287552;9932360;{1,407,1931,17394,1559,1017,442,63,46,30,21,21,};12;3010208;518984;48;48;48;2307384;2307384;2307384;2491080;2307384;91872;91824;33.578911;1.277600;100000;4.945216;15.059424;5.140800;0.000704;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{14, 5, 5, 8};2.610880;20.217440;9771192;{1,407,3001,1559,};4;2849040;501784;16;16;16;2307384;2307384;2307384;2347208;2307384;19920;19904;36.340672;2.265984;100000;4.968736;4.789056;4.723360;0.000700;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{12, 4, 4, 4, 8};4.210176;22.521248;9704200;{1,166,945,5078,1559,};5;2782048;412512;20;20;20;2307384;2307384;2307384;2369476;2307384;31056;31036;35.573505;1.566656;100000;1.590400;6.785088;1.309056;0.000647;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{6, 6, 4, 4, 4, 8};2.320000;24.767839;9696560;{1,32,166,945,5078,1559,};6;2774408;404584;24;24;24;2307384;2307384;2307384;2369752;2307384;31196;31172;35.926079;1.789856;100000;1.277888;6.318272;0.596640;0.000690;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{7, 7, 2, 2, 2, 2, 2, 8};2.339200;31.351328;9880720;{1,38,407,945,1931,5078,17394,1559,};8;2958568;432104;32;32;32;2307384;2307384;2307384;2526368;2307384;109508;109476;25.531937;1.100480;100000;4.706592;7.309632;1.522336;0.000662;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{7, 7, 4, 4, 2, 8};2.418848;26.415104;9848312;{1,38,407,1931,17394,1559,};6;2926160;447944;24;24;24;2307384;2307384;2307384;2478144;2307384;85392;85368;33.156128;1.023488;100000;3.851008;6.089696;1.566016;0.000659;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{8, 8, 16};2.276640;17.523487;9280552;{1,41,945,};3;2358400;43024;12;12;12;2307384;2307384;2307384;2315340;2307384;3984;3972;60.302078;10.853280;100000;9.318240;4.598496;9.322816;0.000702;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{8, 8, 8, 8};2.481216;20.775488;10260744;{1,41,945,1559,};4;3338592;1010712;16;16;16;2307384;2307384;2307384;2327832;2307384;10232;10216;60.266399;10.731200;100000;9.266080;5.814240;9.069152;0.000699;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{8, 8, 4, 4, 8};2.389696;25.598656;9719200;{1,41,945,5078,1559,};5;2797048;428512;20;20;20;2307384;2307384;2307384;2368476;2307384;30556;30536;35.453663;1.646944;100000;8.365792;4.874176;8.513120;0.000700;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{8, 8, 4, 2, 2, 8};2.516032;27.645311;9892952;{1,41,945,5078,17394,1559,};6;2970800;463080;24;24;24;2307384;2307384;2307384;2507648;2307384;100144;100120;34.906273;1.008064;100000;8.533248;7.050784;8.535712;0.000699;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{8, 8, 2, 2, 2, 2, 8};2.951936;30.563360;9893976;{1,41,945,1931,5078,17394,1559,};7;2971824;448624;28;28;28;2307384;2307384;2307384;2523116;2307384;107880;107852;26.833984;1.280544;100000;8.469920;8.675904;8.464384;0.000699;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{4, 4, 4, 4, 8, 8};2.592608;29.253984;10233464;{1,14,41,166,945,1559,};6;3311312;981928;24;24;24;2307384;2307384;2307384;2329312;2307384;10976;10952;60.440800;11.554976;100000;2.259104;7.195456;1.564864;0.000667;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{4, 4, 4, 4, 4, 4, 4, 4};2.470432;31.648865;9792104;{1,14,41,166,945,5078,1559,46,};8;2869952;499512;32;32;32;2307384;2307384;2307384;2370344;2307384;31496;31464;36.650368;1.831744;100000;1.855104;7.892672;0.684800;0.000667;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1};3.082752;89.552513;10472752;{1,8,38,41,52,70,107,166,260,407,631,945,1320,1931,3001,5078,9187,17394,33779,1559,1017,442,63,46,30,21,21,};27;3550600;621432;108;108;108;2307384;2307384;2307384;2928844;2307384;310784;310676;8.874400;3.182464;100000;0.740096;25.007648;1.296128;0.000700;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;9.997824;576846;4.810944;{1, 10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1};2.748032;82.421471;10476984;{1,2,107,166,260,407,631,945,1320,1931,3001,5078,9187,17394,33779,1559,1017,442,63,46,30,21,21,};23;3554832;627448;92;92;92;2307384;2307384;2307384;2927108;2307384;309908;309816;8.010656;1.562144;100000;1.095328;25.819872;0.769536;0.000678;
